Store_Name,Longitude,Latitude,Address,Address Line #2,City,State,Zip5,Zip4,County,
"BD MART",-71.49041,41.80537,"1180 Atwood Ave","","Johnston","RI","02919","4920","PROVIDENCE" 
"RIBATEJO",-71.364182,41.892567,"167 Benefit St","","Pawtucket","RI","02861","1154","PROVIDENCE" 
"IQBAL CONVENIENCE STORES INC DBA SAMS STORE",-71.514465,41.992287,"805 Park Ave","","Woonsocket","RI","02895","5897","PROVIDENCE" 
"WALGREENS 09943",-71.477676,41.734615,"1279 Oaklawn Ave","","Cranston","RI","02920","2652","PROVIDENCE" 
"SIMPLY SEASONAL",-71.473564,41.854725,"1839 Smith St","","N Providence","RI","02911","2326","PROVIDENCE" 
"Quick Mart",-71.524269,41.997326,"85 Mason St","","Woonsocket","RI","02895","","PROVIDENCE" 
"Bahras Market",-71.422844,41.861965,"900 Charles St","","North Providence","RI","02904","5623","PROVIDENCE" 
"Hess Express 39213",-71.454552,41.825317,"442 Manton Ave","","Providence","RI","02909","5029","PROVIDENCE" 
"WALMART 3301",-71.417595,41.845566,"51 Silver Spring St","","Providence","RI","02904","2557","PROVIDENCE" 
"SAVE-A-LOT 827",-71.428131,41.853466,"700 Branch Ave","Branch Avenue Plaza","Providence","RI","02904","1702","PROVIDENCE" 
"Pricerite of Pawtucket",-71.400063,41.880692,"465 Lonsdale Ave","","Pawtucket","RI","02860","1848","PROVIDENCE" 
"WALGREENS 09995",-71.522957,41.684395,"1 Cowesett Ave","","West Warwick","RI","02893","3207","KENT" 
"Stop & Shop 737",-71.50148,41.582054,"1300 Ten Rod Rd","","N Kingstown","RI","02852","4107","WASHINGTON" 
"Country Farms",-71.701447,41.95787,"138 Pascoag Main St","","Pascoag","RI","02859","3101","PROVIDENCE" 
"WALGREENS 06892",-71.263893,41.695335,"591 Metacom Ave","","Bristol","RI","02809","5131","BRISTOL" 
"Espinal Grocery",-71.446327,41.82502,"875 Atwells Ave","","Providence","RI","02909","2504","PROVIDENCE" 
"Green Grocer",-71.254761,41.560001,"934 E Main Rd","","Portsmouth","RI","02871","2348","NEWPORT" 
"CUMBERLAND FARMS  1282",-71.553558,41.833241,"2643 Hartford Ave","","Johnston","RI","02919","1614","PROVIDENCE" 
"Pawtucket Food Mart",-71.41378,41.871288,"755 Mineral Spring Ave","","Pawtucket","RI","02860","3412","PROVIDENCE" 
"7-Eleven 25854D",-71.317589,41.507919,"135 Connell Hwy","","Newport","RI","02840","1313","NEWPORT" 
"Khout Gas Station",-71.402824,41.892429,"1051 Lonsdale Ave","","Central Falls","RI","02863","1721","PROVIDENCE" 
"Broadway Mart",-71.371361,41.811668,"1049 S Broadway","","E Providence","RI","02914","4729","PROVIDENCE" 
"Guatepan Bakery",-71.445244,41.818542,"95 Manton Ave","","Providence","RI","02909","3307","PROVIDENCE" 
"Target 1404",-71.521622,41.870209,"371 Putnam Pike","Ste 250","Smithfield","RI","02917","2445","PROVIDENCE" 
"Borrellis Bakery",-71.421425,41.858337,"805 Charles St","","Providence","RI","02904","1302","PROVIDENCE" 
"Gulf Express",-71.514488,41.991734,"852 Park Ave","","Woonsocket","RI","02895","5873","PROVIDENCE" 
"Friendship Market",-71.435196,41.810204,"187 Messer St","","Providence","RI","02909","2211","PROVIDENCE" 
"Kevin Food Market",-71.443665,41.827492,"103 Academy Ave","","Providence","RI","02908","4539","PROVIDENCE" 
"Quick Mart",-71.490845,42.007965,"710 Elm St","","Woonsocket","RI","02895","3519","PROVIDENCE" 
"J & J Market",-71.390564,41.888161,"69 Washington St","","Central Falls","RI","02863","2215","PROVIDENCE" 
"Sams Food Store",-71.437424,41.775154,"460 Pontiac Ave","","Cranston","RI","02910","3323","PROVIDENCE" 
"Antillas Supermarket #4",-71.422554,41.837227,"194 Douglas Ave","","Providence","RI","02908","3743","PROVIDENCE" 
"Whole Foods Market 10254",-71.457191,41.755615,"151 Sockanosset Cross Rd","","Cranston","RI","02920","5548","PROVIDENCE" 
"AJ'S MINI MARKET, INC",-71.501099,42.013554,"939 Social St","","Woonsocket","RI","02895","1340","PROVIDENCE" 
"CH Charles 5 & 10 Store",-71.308479,41.496044,"232 Broadway","","Newport","RI","02840","2638","NEWPORT" 
"Newport Express",-71.354553,41.860855,"54 Newport Ave","","Pawtucket","RI","02861","4414","PROVIDENCE" 
"Rodriguez Meat Market",-71.456757,41.81818,"400 Hartford Ave","","Providence","RI","02909","5115","PROVIDENCE" 
"The Cumberland Spot",-71.424721,41.930855,"1152 Mendon Rd","","Cumberland","RI","02864","4804","PROVIDENCE" 
"A&S Convenience and Deli",-71.391327,41.868729,"248 West Ave","","Pawtucket","RI","02860","3741","PROVIDENCE" 
"Crugnale Bakery",-71.439751,41.825298,"11 Newark St","","Providence","RI","02908","5313","PROVIDENCE" 
"Rockys Market",-71.43692,41.815247,"19 Messer St","","Providence","RI","02909","2005","PROVIDENCE" 
"La Gran Via",-71.457542,41.818443,"417 Hartford Ave","","Providence","RI","02909","5130","PROVIDENCE" 
"Crescent Market Place",-71.359947,41.757961,"745 Bullocks Point Ave","","Riverside","RI","02915","3543","PROVIDENCE" 
"WALGREENS 10256",-71.402336,41.851532,"1140 N Main St","","Providence","RI","02904","1819","PROVIDENCE" 
"ALDI 38",-71.50032,41.682442,"444 Quaker Ln","","Warwick","RI","02886","0185","KENT" 
"Legris XtraMart",-71.518784,41.695923,"139 Legris Ave","","West Warwick","RI","02893","2920","KENT" 
"Rochs Market",-71.521942,41.695259,"1475 Main St","","West Warwick","RI","02893","2927","KENT" 
"Fernandez Market",-71.453552,41.813515,"455 Plainfield St","","Providence","RI","02909","4443","PROVIDENCE" 
"PriceRite 371",-71.438774,41.826023,"325 Valley St","","Providence","RI","02908","5612","PROVIDENCE" 
"Oakies",-71.398071,41.691994,"626 Oakland Beach Ave","","Warwick","RI","02889","9450","KENT" 
"DOLLAR TREE 3580",-71.562042,41.682251,"760 Tiogue Ave","Ste A","Coventry","RI","02816","5801","KENT" 
"WALGREENS 10099",-71.428764,41.823803,"333 Atwells Ave","","Providence","RI","02903","1442","PROVIDENCE" 
"DOLLAR TREE 1599",-71.47715,41.732784,"1400 Oaklawn Ave","Ste 1","Cranston","RI","02920","2644","PROVIDENCE" 
"DOLLAR TREE 3156",-71.296814,41.52697,"880 W Main Rd","Unit A","Middletown","RI","02842","7312","NEWPORT" 
"ALDI 39",-71.449577,41.753304,"1138 Pontiac Ave","","Cranston","RI","02920","7921","PROVIDENCE" 
"221 Academy Ave Meat Market",-71.444199,41.830776,"221 Academy Ave","","Providence","RI","02908","4427","PROVIDENCE" 
"HIGH ST MARKET INC",-71.396828,41.919956,"732 High St","","Cumberland","RI","02864","6520","PROVIDENCE" 
"Crugnale Bakery",-71.451363,41.862091,"1342 Douglas Ave","","N Providence","RI","02904","4337","PROVIDENCE" 
"Corner Store",-71.373711,41.87965,"136 Spring St","","Pawtucket","RI","02860","3028","PROVIDENCE" 
"Apple Valley Citgo Food Mart",-71.500076,41.846786,"514 Greenville Ave","","Johnston","RI","02919","2217","PROVIDENCE" 
"Target 2430",-71.479881,41.726532,"400 Bald Hill Rd","","Warwick","RI","02886","","KENT" 
"Gulf Express",-71.429558,41.789734,"255 Reservoir Ave","","Providence","RI","02907","3402","PROVIDENCE" 
"DOLLAR TREE 2358",-71.355988,41.821968,"1925 Pawtucket Ave","Ste 2","East Providence","RI","02914","1630","PROVIDENCE" 
"DOLLAR TREE 2370",-71.35141,41.858227,"110 Narragansett Park Dr","","Rumford","RI","02916","1020","PROVIDENCE" 
"DOLLAR TREE 3700",-71.403046,41.911282,"8 Mendon Rd","","Cumberland","RI","02864","5327","PROVIDENCE" 
"North Providence Food Mart",-71.439041,41.867092,"1370 Mineral Spring Ave","","North Providence","RI","02904","4630","PROVIDENCE" 
"7 Eleven (33269H) 33269H",-71.507736,41.825916,"1601 Hartford Ave","","Johnston","RI","02919","3202","PROVIDENCE" 
"DOLLAR TREE 3579",-71.480446,41.935402,"622 George Washington Hwy","Ste 402","Lincoln","RI","02865","4274","PROVIDENCE" 
"Kwik Stop",-71.828018,41.383194,"74 Friendship St","","Westerly","RI","02891","1543","WASHINGTON" 
"MUC Enterprise Inc",-71.500771,42.014645,"1030 Social St","","Woonsocket","RI","02895","1327","PROVIDENCE" 
